dealer_name,filename2,filename,shape,ItemNo,ProductPartNo,ProductTitle,Price,AvailableInventory
convena,Convena.csv,Convena.csv (3).xlsx,"(10, 5)",1045730,GH98-47757D,Samsung F936 Z Fold 4 Camera Frame Purple,"9,10",7
convena,Convena.csv,Convena.csv (3).xlsx,"(10, 5)",1045756,GH98-47742F,Samsung F721 Z Flip 4 Volume Button Silver,"1,31",7
convena,Convena.csv,Convena.csv (3).xlsx,"(10, 5)",1045691,GH98-47742D,Samsung F721 Z Flip 4 Volume Button Blue,"1,26",7
convena,Convena.csv,Convena.csv (3).xlsx,"(10, 5)",1045770,GH98-47742C,Samsung F721 Z Flip 4 Volume Button Rose Gold,"1,26",7
convena,Convena.csv,Convena.csv (3).xlsx,"(10, 5)",1045732,GH98-47742B,Samsung F721 Z Flip 4 Volume Button Purple,"1,26",7
convena,Convena.csv,Convena.csv (3).xlsx,"(10, 5)",1045696,GH98-47742A,Samsung F721 Z Flip 4 Volume Button Black,"1,26",7
convena,Convena.csv,Convena.csv (3).xlsx,"(10, 5)",1045803,GH98-47715F,Samsung F721 Z Flip 4 Sim Holder Silver,"2,21",7
convena,Convena.csv,Convena.csv (3).xlsx,"(10, 5)",1045747,GH98-47715D,Samsung F721 Z Flip 4 Sim Holder Blue,"2,21",2
convena,Convena.csv,Convena.csv (3).xlsx,"(10, 5)",1045772,GH98-47715C,Samsung F721 Z Flip 4 Sim Holder Rose Gold,"2,21",2
convena,Convena.csv,Convena.csv (3).xlsx,"(10, 5)",1045735,GH98-47715A,Samsung F721 Z Flip 4 Sim Holder Black,"2,21",2
